#GRB	Trigger Julian Date	T90	Redshift	Redshift reference
061201	2454071.16571	0.76	0.111 (Magellan, from probable host)	 GCN 5952 (Magellan)<br><strong>Host:</strong> GCN 5883 (UVOT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_18_1.pdf">GCN Report 18.1</a
061126	2454065.86662	70.8	--	--
061121	2454061.14061	81.3	1.314 (Keck I: absorption)	 GCN 5826 (Keck I)<br><strong>Host:</strong> GCN 5877 (NOT); GCN 5878 (SMARTS)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_15_1.pdf">GCN Report 15.1</a><br><a href="http://gcn.gsfc.nasa.gov/reports/report_15_2.pdf">GCN Report 15.2</a
061110B	2454050.41581	134.0	3.44 (VLT)	 GCN 5809 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_14_1.pdf">GCN Report 14.1</a
061110A	2454049.99122	40.7	0.758 (VLT: emission)	 GCN 5812; GCN 6759 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_13_1.pdf">GCN Report 13.1</a
061102	2454041.54203	45.6	--	--
061028	2454036.55998	106.2	--	--
061027	2454035.92711	150.0	--	--
061021	2454030.15218	46.2	0.3463 (Fynbo)	 Fynbo et al. 2009<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_9_1.pdf">GCN Report 9.1</a
061019	2454027.67994	183.8	--	--
061007	2454015.92233	75.3	1.261 (Magellan Clay: absorption)<br>1.262 (VLT: absorption)	 GCN 5715 (Magellan Clay); GCN 5716 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_7_1.pdf">GCN Report 7.1</a
061006	2454015.19851	129.9	--	--
061004	2454013.32675	6.2	--	--
061002	2454010.5441	17.6	--	--
060929	2454008.32987	554.0	--	--
060927	2454006.0886	22.5	5.6 (VLT: absorption)	 GCN 5651 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_2_1.pdf">GCN Report 2.1</a
060926	2454005.20049	8.0	3.208 (VLT: absorption)	 GCN 5626 (VLT); GCN 5637 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_1_1.pdf">GCN Report 1.1</a><br><a href="http://gcn.gsfc.nasa.gov/reports/report_1_2.pdf">GCN Report 1.2</a
060923C	2454002.06462	75.8	--	--
060923B	2454001.98479	8.6	--	--
060923A	2454001.71684	51.7	--	--
060919	2453997.82545	9.1	--	--
060912A	2453991.08049	5.0	probably host redshift:<br>0.937 (VLT: emission)	 GCN 5617 (VLT)<br><strong>Host:</strong> GCN 5573 (VLT)
060908	2453986.87317	19.3	1.8836 (Fynbo)	 GCN 5555 (Gemini-North); Fynbo et al. 2009<br><strong>Host:</strong> GCN 5674 (NOT)
060906	2453984.8561	43.5	3.685 (VLT: absorption)	 GCN 5535 (VLT)
060904B	2453982.60491	171.5	0.703 (VLT: absorption)	 GCN 5513 (VLT)
060904A	2453982.54399	80.1	--	--
060825	2453972.62498	8.0	--	--
060814	2453962.45994	145.3	0.84 (Keck I: emission, from host)	 GCN 6663 (Keck I); arXiv:1205.4036v1 (TOUGH)<br><strong>Host:</strong> GCN 5456 (VLT); GCN 5457 (Palomar Hale); GCN 6663 (Keck I)
060813	2453961.45166	16.1	--	--
060807	2453955.11221	54.0	--	--
060805A	2453952.69987	5.3	--	--
060804	2453951.81134	17.8	--	--
060801	2453949.01128	0.49	--	--
060729	2453946.30034	115.3	0.54 (VLT, Gemini South: absorption)	 GCN 5373 (VLT, Gemini South)
060728	2453945.43369	60.0	--	--
060719	2453935.78515	66.9	1.5320 (TOUGH: emission)	 arXiv:1205.4036v1 (TOUGH)
060717	2453933.88031	3.0	--	--
060714	2453931.13333	115.0	2.71 (VLT: absorption)	 GCN 5320 (VLT)<br><strong>Host:</strong> GCN 5337 (NOT)
060712	2453929.38037	26.3	--	--
060708	2453925.0111	10.2	Z<2.3 (VLT)	 GCN 5319 (VLT)
060707	2453924.39605	66.2	3.43 (VLT: absorption)	 GCN 5298 (VLT)
060614	2453901.03043	108.7	0.13 (Gemini: emission)<br>0.125 (VLT: emission)	 GCN 5275 (Gemini); GCN 5276 (VLT)<br><strong>Host:</strong> GCN 5277 (Danish 1.54m); GCN 5282 (SMARTS)
060607B	2453894.48106	31.1	--	--
060607A	2453893.71682	102.2	3.082 (VLT: absorption)	 GCN 5237 (VLT)
060605	2453892.26094	79.1	3.8 (ANU: absorption)<br>3.7 (SALT: absorption)<br>3.78 (Calar Alto)	 GCN 5223 (ANU); GCN 5226 (SALT); GCN 5489 (Calar Alto); GCN 6166 (Calar Alto)<br><strong>Host:</strong> GCN 5489 (Calar Alto)
060604	2453891.26319	95.0	2.1357 (TOUGH: emission)	 GCN 5218 (NOT); arXiv:1205.4036v1 (TOUGH)
060602A	2453889.39736	75.0	0.787 (VLT: emission, probable)	 GCN 6997 (VLT)
060526	2453882.18646	298.2	3.21 (Magellan: absorption)	 GCN 5170 (Magellan)
060522	2453877.59119	71.1	5.11 (Keck I: absorption)	 GCN 5155 (Keck I)
060516	2453871.78027	161.6	--	--
060515	2453870.6027	52.0	--	--
060512	2453868.4676	8.5	0.4428 (Keck I: emission)	 GCN 5217 (Keck I)<br><strong>Host:</strong> GCN 5156 (Palomar); GCN 5217 (Keck I)
060510B	2453865.84878	275.2	4.9 (Gemini)	 GCN 5104 (Gemini)
060510A	2453865.82185	20.4	--	--
060507	2453862.57861	183.3	--	--
060502B	2453858.22547	0.131	0.287 (Keck I-candidate: absorption)	 GCN 5238 (Keck I)<br><strong>Host:</strong> GCN 5071; GCN 5077 (Gemini); GCN 5072 (MDM); GCN 5238 (Keck I)
060502A	2453857.62745	28.4	~1.51 (Gemini: absorption)	 GCN 5052 (Gemini)
060501	2453856.84374	21.9	--	--
060428B	2453853.87128	57.9	--	--
060428A	2453853.64083	39.5	--	--
060427	2453852.98832	64.0	--	--
060424	2453849.67801	37.5	--	--
060421	2453846.52735	12.2	--	--
060418	2453843.62926	103.1	1.490 (Magellan: absorption)<br>1.489 (VLT: absorption)	 GCN 4969; GCN 5002 (Magellan); GCN 4974 (VLT)
060413	2453839.27804	147.7	--	--
060403	2453829.0502	30.1	--	--
060323	2453818.10597	25.4	--	--
060322	2453817.45858	221.5	--	--
060319	2453813.53869	10.6	--	--
060313	2453807.5084	0.74	--	--
060312	2453806.56682	50.6	--	--
060306	2453800.53416	61.2	--	--
060223B	2453790.3202	10.3	--	--
060223A	2453789.75306	11.3	4.41 (Keck: absorption)	 GCN 4815 (Keck)
060219	2453786.45006	62.1	--	--
060211B	2453778.16337	27.7	--	--
060211A	2453777.90221	126.3	--	--
060210	2453776.70752	255.0	3.91 (Gemini: absoption)	 GCN 4729 (Gemini)<br><strong>Host:</strong> GCN 4753 (ARC)
060206	2453772.69922	7.6	4.045 (NOT: absorption)<br>4.048 (Lick: absorption)<br>4.05 (Subaru: absorption)	 GCN 4686 (NOT); GCN 4692 (NOT); GCN 4701 (Lick); GCN 4703 (Subaru)
060204B	2453771.10722	139.4	--	--
060203	2453770.49693	68.2	--	--
060202	2453768.86175	198.9	--	--
060123	2453759.43241	900.0	1.099 (probable, Gemini: emission)	 GCN 4622 (Gemini)
060117	2453752.78475	16.9	--	--
060116	2453751.85934	105.9	~4.0 or ~6.6 (VLT: photometric)	 GCN 4545; GCN 4583 (VLT)
060115	2453751.04723	139.6	3.53 (VLT: absoprtion)	 GCN 4520 (VLT)
060111B	2453747.34425	58.8	--	--
060111A	2453746.68271	13.2	--	--
060110	2453745.83424	26.0	--	--
060109	2453745.20464	115.4	--	--
060108	2453744.11056	14.3	2.03 (Liverpool: photometric)	 GCN 4539 (Liverpool)
060105	2453740.78434	54.4	--	--
060102	2453738.38713	19.0	--	--
051227	2453732.25505	114.6	--	--
051221B	2453726.33565	39.9	--	--
051221A	2453725.57727	1.4	0.547 (Gemini: emission)	 GCN 4384<br><strong>Host:</strong> GCN 4375
051213	2453717.80074	71.1	--	--
051210	2453714.74052	1.3	--	--
051117B	2453692.05757	9.0	0.481 (TOUGH: emission)	 arXiv:1205.3490v1 (TOUGH)<br><strong>Host:</strong> GCN 4291; ApJ, 662, 294, 2007
051117A	2453691.95231	136.3	--	--
051114	2453688.67463	2.2	--	--
051113	2453688.14068	93.3	--	--
051111	2453685.74978	46.1	1.549 (Keck: absorption)	 GCN 4255; GCN 4271
051109B	2453683.86087	14.3	0.080 (Keck I: emission)	 GCN 5387 (Keck I)<br><strong>Host:</strong> GCN 5387 (Keck I)
051109A	2453683.55024	37.2	2.346 (HET: absorption)	 GCN 4221
051105A	2453679.76853	0.093	--	--
051021B	2453665.48049	46.5	--	--
051016B	2453660.26955	4.0	0.9364 (Keck: emission)	 GCN 4186<br><strong>Host:</strong> ApJ, 662, 294, 2007
051016A	2453659.72466	23.0	--	--
051012	2453656.21243	13.0	--	--
051006	2453650.35455	34.8	1.059 (TOUGH: emission)	 arXiv:1205.3490v1 (TOUGH)<br><strong>Host:</strong> ApJ, 662, 294, 2007
051001	2453644.96639	189.1	2.4296 (TOUGH: emission)	 arXiv:1205.4036v1 (TOUGH)
050925	2453638.87817	0.07	--	--
050922C	2453636.33044	4.5	2.198 (NOT: absorption)<br>2.198 (TNG: absorption)<br>2.199 (VLT: absorption)	 GCN 4017; GCN 4029 (NOT); GCN 4032 (TNG); GCN 4044 (VLT)
050922B	2453636.12639	150.9	--	--
050916	2453630.19157	49.5	--	--
050915B	2453629.39102	40.9	--	--
050915A	2453628.9741	52.0	2.5273 (TOUGH: emission)	 arXiv:1205.4036v1 (TOUGH)<br><strong>Host:</strong> ApJ, 662, 294, 2007
050911	2453625.16637	16.2	--	--
050908	2453621.73786	19.4	3.350 (VLT: absorption)<br>3.3437 (GMOS: absorption)<br>3.3440 (Keck: absorption)	 GCN 3948 (VLT); GCN 3949 (GMOS); GCN 3971 (Keck)
050906	2453619.93895	0.258	--	--
050904	2453617.57759	174.2	6 < z < 8 (SOAR, UNC: photometric)<br>6.10 (VLT: photometric)<br>6.29 (Subaru: absorption)	 GCN 3914 (SOAR; GCN UNC); GCN 3924 (VLT); GCN 3937 (Subaru)<br><strong>Other:</strong> Nature, 440, 164, 2006
050827	2453610.28976	50.0	--	--
050826	2453608.76262	35.5	0.297 (MDM: emission from host)	 GCN 5982 (MDM)<br><strong>Host:</strong> GCN 4749 (MDM); ApJ, 662, 294, 2007
050824	2453607.46685	22.6	0.83 (VLT: emission)	 GCN 3874 (VLT)
050822	2453604.65936	103.4	--	--
050820B	2453603.49337	12.0	--	--
050820A	2453602.77422	26.0	2.612 (Keck: absorption)<br>2.6147 (VLT: absorption)	 GCN 3833 (Keck); GCN 3860 (VLT)
050819	2453602.18328	37.7	2.5043 (TOUGH: emission)	 arXiv:1205.4036v1 (TOUGH)
050815	2453598.22591	2.9	--	--
050814	2453596.98538	150.9	5.3 (NOT: photometric)	 GCN 3809 (NOT); astro-ph 0509888
050813	2453595.78137	0.45	1.8	 E. Berger (Washington conf)
050803	2453586.30139	87.9	possible redshift:<br>0.422 (Keck: emission)	 GCN 3758 (Keck)<br><strong>Host:</strong> GCN 3753
050802	2453584.92225	19.0	1.71 (NOT: absorption)<br>1.434 (TOUGH: emission)	 GCN 3749 (NOT); arXiv:1205.3490v1 (TOUGH)
050801	2453584.26947	19.4	--	--
050730	2453582.33221	156.5	3.96855 (Magellan II: absorption)<br>3.97 (WHT: absorption)<br>3.968 (VLT: absorption)	 GCN 3709; GCN 3732 (Magellan II); GCN 3710 (WHT); GCN 3746 (VLT)
050726	2453577.70854	49.9	--	--
050724	2453576.02372	96.0	0.257 (GMOS: absorption)<br>0.258 (Keck: absorption)	 GCN 3679 (GMOS); GCN 3700 (Keck)<br><strong>Host:</strong> GCN 3666<br><strong>Other:</strong> Nature, 438, 994, 2005<br>ApJ, 639, 323, 2006
050721	2453572.68697	98.4	--	--
050717	2453568.9381	85.0	--	--
050716	2453568.02505	69.1	--	--
050715	2453567.4378	51.6	--	--
050714B	2453566.44481	46.7	--	--
050713B	2453565.00507	54.2	--	--
050713A	2453564.68683	124.7	--	--
050712	2453564.08366	51.6	--	--
050701	2453552.98818	21.8	--	--
050607	2453528.88291	26.4	--	--
050603	2453524.7702	12.4	--	--
050528	2453518.67135	11.3	--	--
050525A	2453515.502	8.8	0.606 (GMOS: emission)	 GCN 3483 (GMOS)<br><strong>Other:</strong> ApJ, 637, 901, 2006
